Author(s),Title,Year,Subject
Juan Luis Manfredi Sánchez,Urban Diplomacy,2021,International relations
Xiangxin Xu,Responsibility to Ensure,2021,International law
Dimitrios Zaganas; Dimitrios Zaganas,L’Hexaemeron d’Anastase le Sinaïte,2022,Christianity
Justus Theodore Ghormley; Justus Theodore Ghormley,Scribes Writing Scripture,2022,Old Testaments
Claudio Katz; Claudio Katz,Dependency Theory After Fifty Years,2022,Sociology
Sofia Gaspar; Irene Rodrigues (Volume Editors),The Presence of China and the Chinese Diaspora in Portugal and Portuguese-Speaking Territories,2021,General & world history
Qiquan Zhong,The Logic of China's New School Reforms,2022,Education
John Langmaid; A. Maitland Emmet; John Heath (Editors),Gelechiidae,2002,"Biology, life sciences"
Gregory Howard; Graeme Newman (Volume Editors),Varieties of Comparative Criminology,2001,Sociology
Nevra Necipoglu; Nevra Necipoglu (Editors),"Byzantine Constantinople: Monuments, Topography and Everyday Life",2001,European history
Christine Kooi; Christine Kooi,"Liberty and Religion: Church and State in Leiden's Reformation, 1572-1620",2000,Early modern history: c 1450/1500 to c 1700
Martin Bucer (Author); William Ian Hazlett (Volume Editor),"Martin Bucer: Opera Latina, Volume 5. Defensio adversus Axioma Catholicum id est criminationem R.P. Roberti Episcopi Abrincensis (1534)",2000,History of ideas
Steve Murdoch; Steve Murdoch; Andrew Mackillop; Andrew Mackillop (Editors),Fighting for Identity,2002,European history
Nils Møller Andersen; Tom A. Weir,"Australian Water Bugs. (Hemiptera - Heteroptera, Gerromorpha & Nepomorpha)",2004,"Biology, life sciences"
Eric Leland Saak; Eric Leland Saak,"High Way to Heaven: The Augustinian Platform Between Reform and Reformation, 1292-1524",2002,Early modern history: c 1450/1500 to c 1700
Richard Geehr,The Aesthetics of Horror,2003,European history
Thomas Brady,"Ruling Class, Regime and Reformation at Strasbourg 1520-1555",1978,Early modern history: c 1450/1500 to c 1700
Paul Breman,"Writings on Architecture, Civil and Military, c. 1460 to 1640",2001,History
Henk Deys,"Guicciardini Illustratus: de kaarten en prenten in Ludovico Guicciardini's ""Beschrijving van de Nederlanden""",2001,Geography
Leonora Navari (Author); Konstantinos Sp. Staikos (Volume Editor),Greek Civilization through the Eyes of Travellers and Scholars,2004,History
John Langmaid; A. Maitland Emmet; John Heath (Editors),"Batrachedridae, Oecophoridae, Ethmiidae, Autostichidae, Blastobasidae, Agronoxenidae, Momphidae, Cosmopterigidae and Scythrididae",2002,"Biology, life sciences"
Anders N. Nilsson,Dystiscidae (Coleoptera),2001,"Biology, life sciences"
Karl A. E.. Enenkel; Jan de Jong; Jeanine De Landtsheer (Volume Editors),Recreating Ancient History: Episodes from the Greek and Roman Past in the Arts and Literature of the Early Modern Period,2001,Early modern history: c 1450/1500 to c 1700
Hubert van Tuyll van Serooskerken; Hubert van Tuyll van Serooskerken,The Netherlands and World War I,2001,European history
Margarete Myers Feinstein,State Symbols,2001,European history
Steve Murdoch; Steve Murdoch (Editors),"Scotland and the Thirty Years' War, 1618-1648",2001,European history
Courtenay; Courtenay (Editors),Rotuli Parisienses,2002,European history
Jason Lavery,Germany's Northern Challenge,2002,European history
Kathryn Edwards,Families and Frontiers,2002,European history
Joelle Rollo-Koster (Volume Editor),"Medieval and Early Modern Ritual: Formalized Behavior in Europe, China and Japan",2002,European history
Robert Gramsch; Robert Gramsch,Erfurter Juristen im Spätmittelalter,2003,European history
Stephan Bullard,Larvae of Anomuran and Brachyuran Crabs of North Carolina,2003,Crustaceans
Isabel O'Connor; Isabel O'Connor,A Forgotten Community,2003,European history
Yaacov Lev; Yaacov Lev (Editors),Towns and Material Culture in the Medieval Middle East,2002,European history
Patricia Skinner,Health and Medicine in Early Medieval Southern Italy,1997,European history
Walter Pohl; Ian Wood; Helmut Reimitz; Walter Pohl; Ian Wood; Helmut Reimitz (Editors),The Transformation of Frontiers,2001,European history
Pia F. Cuneo; Pia F. Cuneo (Editors),"Artful Armies, Beautiful Battles",2002,European history
Robert Scribner; Robert Scribner (Authors); Lyndal Roper; Lyndal Roper (Editors),Religion and Culture in Germany (1400-1800),2001,Early modern history: c 1450/1500 to c 1700
Scott M. Manetsch; Scott M. Manetsch,"Theodore Beza and the Quest for Peace in France, 1572-1598",2000,Early modern history: c 1450/1500 to c 1700
de Groot; Maurits van den Boogert (Editors),Friends and Rivals in the East,2000,Early modern history: c 1450/1500 to c 1700
Braw,Bücher im Staube: Die Theologie Johann Arndts in ihrem Verhältnis zur Mystik,1986,Early modern history: c 1450/1500 to c 1700
Wright,"Ancient Building Technology, Volume 1: Historical Background",2000,Prehistoric archaeology
Alan E. Bernstein,Pierre d'Ailly and the Blanchard Affair: University and Chancellor of Paris at the Beginning of the Great Schism,1978,Early modern history: c 1450/1500 to c 1700
Jean Rott (Volume Editor),Martin Bucer Briefwechsel/Correspondance: Band I (Jusqu'en 1524),1979,History of ideas
Yonah Alexander; Edgar Brenner (Editors),The United Kingdom's Legal Responses to Terrorism,2003,Terrorism law
Göran Bexell; Dan-Erik Andersson (Editors),Universal Ethics,2002,International human rights law
Floyd Feeney; Joachim Herrmann,One Case - Two Systems: A Comparative View of American and German Criminal Justice Systems,2005,International criminal law
David Guinn; Elissa Steglich (Editors),In Modern Bondage: Sex Trafficking in the Americas,2003,International criminal law
Kelly Dawn Askin; Dorean Koenig,Women and International Human Rights Law (3 vols),2000,International human rights law
Mireille Delmas-Marty (Volume Editor),The European Convention for the Protection of Human Rights,1992,International human rights law
Eva Riesenhuber,The International Monetary Fund under Constraint,2001,International organisations & institutions
Lucas Bergkamp,Liability and Environment,2001,Law of the sea
L. Ali Khan,A Theory of Universal Democracy,2003,Public international law
Mark R. von Sternberg,The Grounds of Refugee Protection in the Context of International Human Rights and Humanitarian Law,2002,International human rights law
Ahmad Razavi,Continental Shelf Delimitation and Related Maritime Issues in the Persian Gulf,1997,Law of the sea
Jeremy Levitt (Volume Editor),"Africa: Selected Documents on Constitutive, Conflict and Security, Humanitarian, and Judicial Issues",2003,International humanitarian law
Theresia Degener; Yolan Koster-Dreese (Editors),Human Rights and Disabled Persons,1995,International human rights law
Jeanne Woods; Hope Lewis,"Human Rights and the Global Marketplace: Economic, Social, and Cultural Dimensions",2005,International human rights law
Barbara Kwiatkowska; Harm Dotinga; Merel Molenaar; Alex G. Oude Elferink; Alfred H.A. Soons (Editors),International Organizations and the Law of the Sea 2000,2002,International organisations & institutions
Lakshman Guruswamy; Suzette Grillot,Arms Control and the Environment,2001,International environmental law
Hans Göran Franck (Author); William Schabas (Volume Editor),The Barbaric Punishment,2003,International human rights law
Fernand de Varennes (Volume Editor),Asia-Pacific Human Rights Documents and Resources,2000,International human rights law
Ibrahim F.I. Shihata; James D. Wolfensohn (Authors); Antonio Parra; Barber Conable; Franziska Tschofen; Ibrahim F.I. Shihata (Editors),The World Bank in a Changing World,2000,International organisations & institutions
G. Gregory Letterman,Basics of Multilateral Institutions and Organizations: Economics and Commerce,2002,International organisations & institutions
Christian Campbell,International Deregulation and Privatization,2000,International law
Beverly Carl,Trade and the Developing World in the 21st Century,2001,International economic & trade law
Kirsten Hastrup (Volume Editor),Legal Cultures and Human Rights,2001,International human rights law
Christiane Bourloyannis-Vrailas; Christiane Bourloyannis-Vrailas; Linos-Alexander Sicilianos; Linos-Alexander Sicilianos (Editors),The Prevention of Human Rights Violations,2002,International human rights law
John Norton Moore; Myron H. Nordquist (Editors),Current Marine Environmental Issues and the International Tribunal for the Law of the Sea,2001,Law of the sea
Jianfu Chen; Yuwen Li; Jan Michiel Otto; Maurice V. Polak (Editors),Law-Making in the People's Republic of China,2000,International law
Fons Coomans; Fred Grünfeld; Ingrid Westendorp; Jan Willems (Editors),Rendering Justice to the Vulnerable,2000,International human rights law
Kaiyan Homi Kaikobad,The International Court of Justice and Judicial Review,2000,Settlement of international disputes
Vera Gowlland-Debbas; Vincent Chetail (Editors),"Switzerland and the International Protection of Refugees, La Suisse et la protection internationale des refugiés",2002,International law
Cheryl Saunders; Gillian D. Triggs (Editors),Trade and Cooperation with the European Union in the New Millenium,2002,International law
Bimal N. Patel (Volume Editor),The World Court Reference Guide,2002,International organisations & institutions
Mari Katayanagi; Mari Katayanagi,Human Rights Functions of United Nations Peacekeeping Operations,2002,International human rights law
Neil Boister,Penal Aspects of the UN Drug Conventions,2001,International criminal law
M. Cherif Bassiouni (Volume Editor),International Terrorism: A Compilation of U.N. Documents (1972-2001) (2 vols.),2002,International criminal law
Paschal Mihyo; Karin Arts (Editors),Responding to the Human Rights Deficit,2003,International human rights law
Lone Lindholt; Paulo de Mesquita Neto; Danny Titus; Etannibi E. Alemika (Editors),Human Rights and the Police in Transitional Countries,2003,International human rights law
Hilde Hey,Gross Human Rights Violations: A Search for Causes,1995,International human rights law
Jürgen Bröhmer,State Immunity and the Violation of Human Rights,1997,International human rights law
Nikolay Natov,Foreign Investments in Bulgaria,2000,Public international law
Choung Il Chee,Korean Perspectives on Ocean Law Issues for the 21st Century,2000,Public international law
Eric P.J. Myjer (Volume Editor),Issues of Arms Control Law and the Chemical Weapons Convention,2001,Public international law
Alex G. Oude Elferink; Alex G. Oude Elferink; Donald R. Rothwell; Donald R. Rothwell (Editors),The Law of the Sea and Polar Maritime Delimitation and Jurisdiction,2001,Law of the sea
Myron H. Nordquist (Author); Myron H. Nordquist; Satya Nandan; Shabtai Rosenne; Michael Lodge (Editors),"United Nations Convention on the Law of the Sea 1982, Volume VI",2003,Law of the sea
Seyed-Ali Sadat-Akhavi,Methods of Resolving Conflicts between Treaties,2003,International law
Katarina Tomaševski; Philip Alston (Editors),The Right to Food,1984,International human rights law
Claus Gulmann; Lars Adam Rehof (Editors),Human Rights in Domestic Law and Development,1989,International human rights law
Shigeru Oda,The Law of the Sea in Our Time,1977,Law of the sea
Gerrit Faber; Pitou van Dijck (Editors),The External Economic Dimension of the European Union,2000,International organisations & institutions
Harry N. Scheiber; Harry N. Scheiber (Editors),Law of the Sea,2000,Law of the sea
Hilaire McCoubrey; Justin Morris,Regional Peacekeeping in the Post-Cold War Era,2000,International relations
Menno T. Kamminga; Saman Zia-Zarifi (Editors),Liability of Multinational Corporations under International Law,2001,Settlement of international disputes
Schmidt; Schmidt,Capital Punishment in Japan,2002,Ethical issues: capital punishment
Henk Blezer; Henk Blezer (Editors),"Proceedings of the Ninth Seminar of the IATS, 2000. Volume 2: Religion and Secular Culture in Tibet",2002,Asian history
Deborah Klimburg-Salter; Deborah Klimburg-Salter; Eva Allinger; Eva Allinger (Editors),"Proceedings of the Ninth Seminar of the IATS, 2000. Volume 7: Buddhist Art and Tibetan Patronage Ninth to Fourteenth Centuries",2002,Asian history
Ilse Logie,La omnipresencia de la mímesis en la obra de Manuel Puig,2001,Cultural studies
Daniela Daniele,The woman of the crowd,2000,Cultural studies
D.B.D. Asker,Aspects of Metamorphosis,2001,Literary studies: general
Tina Escaja,Salomé decapitada,2001,Literary studies: general
Gerard Carruthers; David Goldie; Alastair Renfrew (Volume Editors),Beyond Scotland,2004,Cultural studies
John Neubauer; Helga Geyer-Ryan (Volume Editors),Gendered Memories,2000,Literary studies: general
Ottmar Ette,Literature on the Move,2003,Literary studies: general
Marisa Siguán; Karl Wagner (Volume Editors),Transkulturelle Beziehungen,2004,Literary studies: general
John Campbell; Nadia Margolis (Volume Editors),Christine de Pizan 2000,2000,Cultural studies
Luuk Van Waes; Egbert Woudstra; Paul van den Hoven (Volume Editors),Functional Communication Quality,1994,Semantics
José van der Hoeven,Children's composing,1997,Psycholinguistics
Henning Niemeyer-Lemke (Volume Editor),"Klabund: Sämtliche Werke, Band III: Dramen und Szenen, Zweiter Teil",2000,Literary studies: general
Marie-Agnès Sourieau; Kathleen M. Balutansky (Volume Editors),Ecrire en pays assiégé – Haïti – Writing under Siege,2004,Literary studies: general
Graham Jackman; Ian F. Roe (Volume Editors),Finding a Voice,2000,Cultural studies
Gudrun Bühnemann; Gudrun Bühnemann,The Iconography of Hindu Tantric Deities (2 vols.),2001,Regional studies
Hans Krabbendam,The Model Man,2001,Cultural studies
Reinhard Andress,"Der Inselgarten': das Exil deutschsprachiger Schriftsteller auf Mallorca, 1931-1936",2001,Historical & comparative linguistics
Marie-Christine Kok Escalle; Francine Melka (Volume Editors),Changements politiques et status des langues,2001,Linguistics
Paul Pelckmans,"Cleveland, ou l’impossible proximité",2001,Cultural studies
Cheryl Dueck,Rifts in Time and in the Self,2004,Historical & comparative linguistics
Stella Harvey; Kate Ince (Volume Editors),"Duras, femme du siècle",2001,Interdisciplinary studies
Jan Baetens,Etudes camusiennes,2000,Cultural studies
A.M. Dubianski; A.M. Dubianski,Ritual and Mythological Sources of the Early Tamil Poetry,2000,Regional studies
Ian Wallace; Dennis Tate; Gerd Labroisse (Volume Editors),Heiner Müller,2000,Cultural studies
Maria Cristina Fumagalli; Maria Cristina Fumagalli,The Flight of the Vernacular,2001,Literary studies: post-colonial literature
Marc Delrez; Marc Delrez,Manifold Utopia,2002,Literary studies: post-colonial literature
Elise Noetinger,L’Imaginaire de la blessure,2000,Literary studies: general
Kees Snoek; Kees Snoek,Manhafte heren en rijke erfdochters,2003,Language: history & general works
R.G. Tol; R.G. Tol; C. (Kees) van Dijk; C. (Kees) van Dijk; G. Acciaioli; G. Acciaioli (Editors),Authority and Enterprise,2000,Anthropology
V.J.H. Houben; V.J.H. Houben; J.Th. Lindblad; J.Th. Lindblad (Editors),The Emergence of a National Economy,2002,Regional & national history
